county,all_industries,nat_resource_mining,construction,manufacturing,trade_trans_util,information,financial,prof_bus_services,education_health,leisure_hospitality,other,government,housing_units,highway_miles,lane_miles,number_of_bridges,state_facilities,facilities_sq_ft,conservation_lands,con_land_acres,non_cons_lands,non_con_acreage,revenue_(000),revenue_per_capita,tota_spending_(000),spending_per_capita,spending_pct_revenue,govt_service_spending,ggs_per_capita,ggs_pct_revenue,public_safety_(000),ps_per_capita,ps_pct_revenue,phys_env_(000),pe_per_capita,pe_pct_revenue,transportation_(000),transp_per_capita,transp_pct_revenue,economic_environment_(000),ee_per_capita,ee_pct_revenue,human_services_(000),hs_per_capita,hs_pct_revenue
collier,13979,103,1980,297,2333,177,1903,3258,1239,1174,1314,83,197298,206.2,717.2,218,71,364881,20896,206425.3,63,364.9,968992.3,2766.95,920145.3,2627.47,95.0,190614.33,544.3,19.7,225158.56,642.94,23.2,148513.64,424.08,15.3,76236.19,217.69,7.9,11156.15,31.86,1.2,14156.81,40.42,1.5
columbia,13979,103,1980,297,2333,177,1903,3258,1239,1174,1314,83,28636,203.9,624.8,72,216,1222969,70,8007.2,45,563.2,123795.0,1805.49,114727.89,1673.25,92.7,9781.22,142.65,7.9,25982.98,378.95,21.0,7803.55,113.81,6.3,17749.36,258.87,14.3,2072.28,30.22,1.7,2614.96,38.14,2.1
desoto,630,92,95,15,127,4,31,73,46,64,44,38,14590,82.9,208.0,28,201,1516788,17,1148.6,24,1503.3,53647.6,1526.64,50837.83,1446.68,94.8,11475.32,326.55,21.4,15883.68,452.0,29.6,8398.87,239.0,15.7,4154.48,118.22,7.7,798.32,22.72,1.5,1620.72,46.12,3.0
dixie,227,14,29,7,52,3,7,25,17,29,17,27,9319,46.3,151.0,34,107,344721,67,20943.5,20,277.2,25099.7,1496.44,25093.22,1496.05,100.0,3397.91,202.58,13.5,8955.75,533.94,35.7,1735.03,103.44,6.9,6917.78,412.44,27.6,382.33,22.79,1.5,517.55,30.86,2.1
duval,29324,60,3260,813,6007,393,3067,6667,3318,2646,2587,263,388486,484.7,2091.4,603,140,1469346,168,19835.7,248,5397.9,5521355.6,6285.3,4908959.19,5588.17,88.9,1386048.09,1577.82,25.1,647566.51,737.16,11.7,1670654.71,1901.81,30.3,384515.74,437.72,7.0,53808.86,61.25,1.0,112512.7,128.08,2.0
escambia,8099,33,947,229,1823,96,777,1559,950,812,678,137,136703,259.1,855.5,114,123,641031,74,5707.4,134,2172.7,426772.5,1376.75,420289.26,1355.83,98.5,106223.38,342.67,24.9,148482.33,479.0,34.8,13879.21,44.77,3.3,52096.37,168.06,12.2,35057.88,113.1,8.2,2548.92,8.22,0.6
flagler,2493,16,386,64,427,31,271,533,259,233,214,35,48595,102.4,343.2,38,42,63386,42,4488.0,41,39.6,136253.5,1321.63,138685.64,1345.22,101.8,36913.07,358.05,27.1,47801.78,463.67,35.1,5384.61,52.23,4.0,23407.94,227.05,17.2,2606.79,25.29,1.9,4400.81,42.69,3.2
franklin,367,3,44,5,91,11,33,32,27,64,27,30,8652,91.2,182.3,18,126,480085,255,250727.9,45,511.2,33820.5,2838.24,33284.95,2793.3,98.4,4136.14,347.11,12.2,6251.96,524.67,18.5,2112.06,177.25,6.2,4504.1,377.99,13.3,1567.6,131.55,4.6,9376.2,786.86,27.7
gadsden,838,33,140,23,204,9,40,96,91,62,84,51,19506,138.0,414.0,71,307,2676466,236,20315.5,78,4496.9,63147.5,1302.39,66852.08,1378.79,105.9,8457.57,174.43,13.4,12673.78,261.39,20.1,350.08,7.22,0.6,10095.65,208.22,16.0,801.33,16.53,1.3,11101.54,228.96,17.6
gilchrist,335,38,58,11,75,4,17,36,17,23,25,28,7307,60.2,121.7,6,88,284728,9,1392.3,20,402.9,21655.8,1285.37,20886.1,1239.68,96.4,4131.88,245.24,19.1,6932.28,411.46,32.0,1020.74,60.59,4.7,5054.95,300.03,23.3,406.93,24.15,1.9,1117.01,66.3,5.2
